Iterations,Training Accuracy,Training Loss,Test Accuracy,Test Loss
82,0.959999978542,11.8774328232,0.949599981308,15.2264671326
83,0.939999997616,32.0864944458,0.949899971485,15.1198310852
84,0.959999978542,9.59680652618,0.954900026321,13.4826745987
85,0.959999978542,13.1196737289,0.958800017834,12.6361713409
86,0.97000002861,8.98867225647,0.954800009727,13.0063991547
87,0.990000009537,8.65822792053,0.954200029373,13.688243866
88,0.949999988079,23.2991104126,0.950800001621,14.7653865814
89,0.97000002861,9.93450069427,0.952099978924,14.3376216888
90,0.930000007153,21.7922096252,0.958800017834,12.7223386765
91,0.959999978542,10.0841846466,0.964200019836,10.7266750336
92,0.980000019073,5.14039993286,0.965600013733,10.9311151505
93,0.97000002861,9.55342197418,0.961000025272,12.0343761444
94,0.97000002861,12.7375621796,0.956399977207,13.5104951859
95,0.949999988079,20.2395019531,0.95459997654,13.8954057693
96,0.959999978542,18.5075130463,0.958299994469,12.9813194275
97,0.949999988079,12.9408092499,0.960799992085,11.9014081955
98,0.97000002861,6.53476428986,0.962599992752,11.2169046402
99,0.920000016689,28.7209281921,0.964299976826,10.7487421036
100,0.990000009537,4.1399641037,0.966600000858,10.4455661774
101,0.959999978542,10.5684423447,0.967299997807,10.5248641968
102,0.930000007153,15.479719162,0.967800021172,10.3497438431
103,0.990000009537,5.59084558487,0.963199973106,11.3012399673
104,0.959999978542,11.3050365448,0.959800004959,12.6068229675
105,0.97000002861,7.21802568436,0.957700014114,13.057806015
106,0.990000009537,5.584233284,0.959200024605,13.0266685486
107,0.990000009537,7.53021526337,0.961499989033,12.6250562668
108,0.990000009537,6.08925771713,0.964699983597,11.8135690689
109,0.959999978542,18.553571701,0.964200019836,11.7171678543
110,0.97000002861,9.5464963913,0.969699978828,10.382850647
111,0.97000002861,7.00364875793,0.9700999856,9.78072929382
112,0.97000002861,15.8480386734,0.970200002193,10.0387897491
113,0.990000009537,4.80680751801,0.967199981213,10.6982660294
114,0.899999976158,37.0653266907,0.964299976826,11.4201908112
115,0.959999978542,9.1986207962,0.964200019836,11.1992263794
116,0.959999978542,12.3555784225,0.964800000191,10.8533582687
117,0.959999978542,10.3840274811,0.964699983597,10.5784788132
118,0.959999978542,9.15179634094,0.963199973106,11.1893920898
119,0.939999997616,19.0614738464,0.960799992085,12.386633873
120,0.930000007153,18.3634376526,0.955299973488,14.3952503204
121,0.899999976158,34.5636444092,0.954699993134,14.2854480743
122,0.939999997616,22.0543937683,0.96020001173,12.5012235641
123,0.930000007153,14.4829216003,0.954400002956,13.5119113922
124,0.97000002861,15.6531248093,0.953400015831,13.6908454895
125,0.990000009537,7.82726764679,0.953999996185,13.6841487885
